Datos,Eléctrica
Astronomía,Comunicación
Matemática,Astronomía,Economía
Física,Medicina,Eléctrica
Matemática,Industrial
Lenguaje,Historia
Matemática,Economía
Arte,Diseño,Música,IDI,Astronomía
Astronomía
Matemática,Economía,Biología,Física,Eléctrica
Astronomía,Economía
Economía,Lingüística,Matemática
Robótica,Mecánica,Diseño
Biología,Robótica,Diseño
Eléctrica,Física
Robótica,SistemasOperativos,Eléctrica
Astronomía,Economía,Minería,Comunicación,Matemática,Periodismo,Biología
Economía,Matemática,Comunicación
Astronomía,Matemática
Lingüística
Arte,Robótica,Pedagogía
Economía,Industrial,Transporte
Economía,Lingüística
Comunicación
Astronomía
Arte,Música,Diseño,Medicina
Matemática,Economía,Astronomía,Lingüística
Robótica,Arte,Eléctrica
Física,Medicina,Minería,Economía
Biología,Periodismo,Comunicación
Música,Arte,Biología,Astronomía
Comunicación,Datos
Matemática,Ciencias,Economía
Economía,Matemática,Lingüística,Periodismo,Comunicación,Datos
Datos,Matemática,Deportes,Música
Mecánica,Música,Diseño,Eléctrica
Astronomía,Datos,Matemática
Arquitectura,Diseño,Economía,Industrial,Datos
Matemática,Eléctrica,Robótica,Economía,Comunicación,Diseño
Astronomía,Biología,Comunicación,Matemática
Biología,Economía,Astronomía,Matemática,Diseño
Diseño,Robótica,Astronomía,Periodismo,Comunicación,Lingüística
